class_name,source_precision,source_recall,source_f1,source_support,timematch_precision,timematch_recall,timematch_f1,timematch_support,pra_precision,pra_recall,pra_f1,pra_support,pra_minus_timematch_f1,pra_minus_source_f1
corn,0.9,0.98,0.94,755,0.89,0.99,0.93,755,0.76,0.98,0.86,755,-0.07000000000000006,-0.07999999999999996
horsebeans,0.0,0.0,0.0,67,0.48,0.24,0.32,67,0.66,0.31,0.42,67,0.09999999999999998,0.42
meadow,0.82,0.88,0.85,2484,0.88,0.76,0.81,2484,0.92,0.58,0.71,2484,-0.10000000000000009,-0.14
spring_barley,0.89,0.71,0.79,2737,0.84,0.92,0.88,2737,0.86,0.88,0.87,2737,-0.010000000000000009,0.07999999999999996
spring_peas,0.4,0.39,0.39,67,0.58,0.43,0.5,67,0.29,0.6,0.39,67,-0.10999999999999999,0.0
sunflowers,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
unknown,0.59,0.51,0.55,2516,0.61,0.43,0.51,2516,0.48,0.43,0.46,2516,-0.04999999999999999,-0.09000000000000002
winter_barley,0.82,0.82,0.82,761,0.98,0.82,0.89,761,0.95,0.8,0.87,761,-0.020000000000000018,0.050000000000000044
winter_oat,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
winter_rapeseed,0.96,0.99,0.97,608,0.88,0.99,0.93,608,0.89,0.99,0.94,608,0.009999999999999898,-0.030000000000000027
winter_triticale,0.11,0.48,0.18,81,0.17,0.12,0.14,81,0.08,0.32,0.13,81,-0.010000000000000009,-0.04999999999999999
winter_wheat,0.84,0.9,0.87,1990,0.7,0.97,0.81,1990,0.75,0.97,0.85,1990,0.039999999999999925,-0.020000000000000018
