class_name,source_precision,source_recall,source_f1,source_support,timematch_precision,timematch_recall,timematch_f1,timematch_support,timematch_minus_source_f1
corn,0.89,0.95,0.92,1338,0.87,0.97,0.92,1338,0.0
horsebeans,0.94,0.57,0.71,154,0.72,0.66,0.69,154,-0.020000000000000018
meadow,0.84,0.89,0.86,2944,0.9,0.78,0.84,2944,-0.020000000000000018
spring_barley,0.26,0.5,0.34,52,0.16,0.56,0.25,52,-0.09000000000000002
spring_peas,0.34,0.82,0.48,66,0.31,0.91,0.46,66,-0.019999999999999962
sunflowers,0.98,0.84,0.91,3259,0.95,0.73,0.83,3259,-0.08000000000000007
unknown,0.69,0.73,0.71,3274,0.61,0.75,0.68,3274,-0.029999999999999916
winter_barley,0.88,0.84,0.86,749,0.92,0.82,0.87,749,0.010000000000000009
winter_oat,0.7,0.48,0.57,48,0.44,0.56,0.5,48,-0.06999999999999995
winter_rapeseed,0.98,0.94,0.96,518,0.98,0.94,0.96,518,0.0
winter_triticale,0.61,0.26,0.37,170,0.79,0.18,0.29,170,-0.08000000000000002
winter_wheat,0.95,0.98,0.96,5425,0.95,0.98,0.96,5425,0.0
