source,target,source_dataset,target_dataset,closed_set,source_phase_partition_mode,source_phase_count,num_classes,fold_count,timematch_experiment,target_f1,target_accuracy,source_phase_compactness_p1,source_phase_compactness_p2,source_phase_margin_p2,source_phase_separability_p3,source_phase_separability_p2,source_phase_margin_p3,source_phase_compactness_p3,source_phase_separability_p1,source_phase_margin_p1,source_samples,source_phase_boundary_1,source_phase_boundary_2,checkpoint_dir
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,True,structure,3,11,1,timematch_30TXT_to_31TCJ_closedset_noshift,0.7945527984749808,0.9578964748617188,0.9640634059906006,0.7980958223342896,0.44591352343559265,0.18045304715633392,0.8114124536514282,0.18664361536502838,0.7465708255767822,0.5211056470870972,0.30785343050956726,106028,6,19,/data/user/timematch/outputs/timematch_30TXT_to_31TCJ_closedset_noshift
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,True,structure,3,11,1,timematch_30TXT_to_32VNH_closedset_noshift,0.6581404601787256,0.9479606188466948,0.9973151087760925,0.8988535404205322,0.4754701256752014,0.1839771270751953,0.9426600933074951,0.192521333694458,0.8123961091041565,0.5293716192245483,0.2946992516517639,106028,5,18,/data/user/timematch/outputs/timematch_30TXT_to_32VNH_closedset_noshift
FR1,AT1,france/30TXT/2017,austria/33UVP/2017,True,structure,3,11,1,timematch_30TXT_to_33UVP_closedset_noshift,0.8135698493777221,0.9696019629225736,1.1204721927642822,1.0015544891357422,0.4701564311981201,0.1784544587135315,0.8733346462249756,0.19008584320545197,0.8841888308525085,0.5630241632461548,0.3066144287586212,106028,6,18,/data/user/timematch/outputs/timematch_30TXT_to_33UVP_closedset_noshift
FR2,FR1,france/31TCJ/2017,france/30TXT/2017,True,structure,3,12,1,timematch_31TCJ_to_30TXT_closedset_noshift,0.6513283731186127,0.9263060182558919,0.42116767168045044,0.5676840543746948,0.21569500863552094,0.11366952955722809,0.26301732659339905,0.13944607973098755,0.6532076001167297,1.181276559829712,0.4308326244354248,74156,19,26,/data/user/timematch/outputs/timematch_31TCJ_to_30TXT_closedset_noshift
FR2,DK1,france/31TCJ/2017,denmark/32VNH/2017,True,structure,3,12,1,timematch_31TCJ_to_32VNH_closedset_noshift,0.5156133774457572,0.743421897060711,0.40903928875923157,0.5307435989379883,0.22144223749637604,0.12156864255666733,0.2809576094150543,0.14175578951835632,0.6419166922569275,1.140721321105957,0.4310882091522217,74156,19,26,/data/user/timematch/outputs/timematch_31TCJ_to_32VNH_closedset_noshift
FR2,AT1,france/31TCJ/2017,austria/33UVP/2017,True,structure,3,12,1,timematch_31TCJ_to_33UVP_closedset_noshift,0.6545428390632363,0.957550358253346,0.41824784874916077,0.5625418424606323,0.2323925942182541,0.11787179857492447,0.3117797076702118,0.14188577234745026,0.6054486036300659,1.0869405269622803,0.4257364273071289,74156,18,26,/data/user/timematch/outputs/timematch_31TCJ_to_33UVP_closedset_noshift
DK1,FR1,denmark/32VNH/2017,france/30TXT/2017,True,structure,3,12,1,timematch_32VNH_to_30TXT_closedset_noshift,0.5682796658061672,0.958042702731484,0.28570616245269775,0.24457453191280365,0.34757834672927856,0.17007891833782196,0.7513371109962463,0.18171830475330353,0.31094440817832947,0.3877088129520416,0.218637615442276,53823,5,18,/data/user/timematch/outputs/timematch_32VNH_to_30TXT_closedset_noshift
DK1,FR2,denmark/32VNH/2017,france/31TCJ/2017,True,structure,3,12,1,timematch_32VNH_to_31TCJ_closedset_noshift,0.45307837369305637,0.9231816943612094,0.2639296352863312,0.21749919652938843,0.3413914144039154,0.1622326523065567,0.7229548096656799,0.17659080028533936,0.2727072536945343,0.40320873260498047,0.21643483638763428,53823,5,18,/data/user/timematch/outputs/timematch_32VNH_to_31TCJ_closedset_noshift
DK1,AT1,denmark/32VNH/2017,austria/33UVP/2017,True,structure,3,12,1,timematch_32VNH_to_33UVP_closedset_noshift,0.6702959698139771,0.9489481785531042,0.28051629662513733,0.24400196969509125,0.34030115604400635,0.16263751685619354,0.7440572381019592,0.17659516632556915,0.29666391015052795,0.3655986487865448,0.21869055926799774,53823,5,18,/data/user/timematch/outputs/timematch_32VNH_to_33UVP_closedset_noshift
AT1,FR1,austria/33UVP/2017,france/30TXT/2017,True,structure,3,10,1,timematch_33UVP_to_30TXT_closedset_noshift,0.7142810780316066,0.9255609703850479,0.49743396043777466,0.3196678161621094,0.5435646772384644,0.16852165758609772,1.468583583831787,0.17146404087543488,0.28065744042396545,0.3217853009700775,0.20641446113586426,43809,7,20,/data/user/timematch/outputs/timematch_33UVP_to_30TXT_closedset_noshift
AT1,FR2,austria/33UVP/2017,france/31TCJ/2017,True,structure,3,10,1,timematch_33UVP_to_31TCJ_closedset_noshift,0.6214111953583912,0.9183560122188281,0.34669259190559387,0.24125555157661438,0.5617324709892273,0.16129820048809052,1.353684663772583,0.1645757108926773,0.22064925730228424,0.59260094165802,0.259469598531723,43809,10,20,/data/user/timematch/outputs/timematch_33UVP_to_31TCJ_closedset_noshift
AT1,DK1,austria/33UVP/2017,denmark/32VNH/2017,True,structure,3,10,1,timematch_33UVP_to_32VNH_closedset_noshift,0.7483376774611116,0.7225208135736115,0.480009526014328,0.2898090183734894,0.5462898015975952,0.17668309807777405,1.4360202550888062,0.17761816084384918,0.24615639448165894,0.20964984595775604,0.17701061069965363,43809,6,20,/data/user/timematch/outputs/timematch_33UVP_to_32VNH_closedset_noshift
