source,target,source_dataset,target_dataset,closed_set,source_phase_partition_mode,source_phase_count,num_classes,fold_count,timematch_experiment,target_f1,target_accuracy,source_phase_compactness_p2,source_phase_compactness_p1,source_phase_margin_p3,source_phase_compactness_p4,source_phase_compactness_p3,source_phase_compactness_p5,source_phase_separability_p3,source_phase_margin_p2,source_phase_separability_p1,source_phase_margin_p4,source_phase_separability_p5,source_phase_separability_p2,source_phase_separability_p4,source_phase_margin_p5,source_phase_margin_p1,source_samples,source_phase_boundary_1,source_phase_boundary_2,source_phase_boundary_3,source_phase_boundary_4,checkpoint_dir
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,True,structure,5,11,1,timematch_30TXT_to_31TCJ_closedset_noshift,0.7945527984749808,0.9578964748617188,1.0895928144454956,0.8644698262214661,0.516718864440918,0.8326598405838013,0.7010877132415771,0.7465708255767822,1.1665568351745605,0.32270577549934387,0.514343798160553,0.4246719479560852,0.18045304715633392,0.5278674960136414,0.7048691511154175,0.18664361536502838,0.29300108551979065,106028,3,6,9,19,/data/user/timematch/outputs/timematch_30TXT_to_31TCJ_closedset_noshift
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,True,structure,5,11,1,timematch_30TXT_to_32VNH_closedset_noshift,0.6581404601787256,0.9479606188466948,0.8401904702186584,0.9925994873046875,0.47152724862098694,0.8113215565681458,0.931060791015625,0.8343576788902283,0.7381883859634399,0.48350128531455994,0.5741956233978271,0.4178437292575836,0.17611020803451538,1.0957905054092407,0.8522951006889343,0.18684987723827362,0.3134736716747284,106028,6,11,16,19,/data/user/timematch/outputs/timematch_30TXT_to_32VNH_closedset_noshift
FR1,AT1,france/30TXT/2017,austria/33UVP/2017,True,structure,5,11,1,timematch_30TXT_to_33UVP_closedset_noshift,0.8135698493777221,0.9696019629225736,1.268978476524353,1.003083348274231,0.5257408022880554,1.0510175228118896,0.8776435852050781,0.8841888308525085,1.237680435180664,0.32170426845550537,0.5673378109931946,0.45162832736968994,0.1784544587135315,0.558710515499115,0.7518860101699829,0.19008584320545197,0.29152461886405945,106028,3,6,9,18,/data/user/timematch/outputs/timematch_30TXT_to_33UVP_closedset_noshift
FR2,FR1,france/31TCJ/2017,france/30TXT/2017,True,structure,5,12,1,timematch_31TCJ_to_30TXT_closedset_noshift,0.6513283731186127,0.9263060182558919,0.3916992247104645,0.5168925523757935,0.5076837539672852,0.5723150968551636,0.40280410647392273,0.6532076001167297,1.4689865112304688,0.40153566002845764,0.6164167523384094,0.23320023715496063,0.11366952955722809,1.100968360900879,0.3261793851852417,0.13944607973098755,0.28390488028526306,74156,3,9,18,26,/data/user/timematch/outputs/timematch_31TCJ_to_30TXT_closedset_noshift
FR2,DK1,france/31TCJ/2017,denmark/32VNH/2017,True,structure,5,12,1,timematch_31TCJ_to_32VNH_closedset_noshift,0.5156133774457572,0.743421897060711,0.39536023139953613,0.4917788803577423,0.5079662203788757,0.5375525951385498,0.3832927644252777,0.6419166922569275,1.3909454345703125,0.4017632007598877,0.6080314517021179,0.2387174814939499,0.12156864255666733,1.095626950263977,0.34050559997558594,0.14175578951835632,0.2829184830188751,74156,3,9,18,26,/data/user/timematch/outputs/timematch_31TCJ_to_32VNH_closedset_noshift
FR2,AT1,france/31TCJ/2017,austria/33UVP/2017,True,structure,5,12,1,timematch_31TCJ_to_33UVP_closedset_noshift,0.6545428390632363,0.957550358253346,0.4099773168563843,0.4953986406326294,0.49747711420059204,0.5625418424606323,0.40275663137435913,0.6054486036300659,1.30659818649292,0.39329251646995544,0.59637850522995,0.2323925942182541,0.11787179857492447,1.0027352571487427,0.3117797076702118,0.14188577234745026,0.275402307510376,74156,3,9,18,26,/data/user/timematch/outputs/timematch_31TCJ_to_33UVP_closedset_noshift
DK1,FR1,denmark/32VNH/2017,france/30TXT/2017,True,structure,5,12,1,timematch_32VNH_to_30TXT_closedset_noshift,0.5682796658061672,0.958042702731484,0.2781531810760498,0.28478968143463135,0.31739962100982666,0.23333202302455902,0.1979181170463562,0.31094440817832947,0.43129876255989075,0.32958438992500305,0.37540242075920105,0.4568506181240082,0.17007891833782196,0.9556584358215332,0.8085550665855408,0.18171830475330353,0.2185748666524887,53823,6,12,15,18,/data/user/timematch/outputs/timematch_32VNH_to_30TXT_closedset_noshift
DK1,FR2,denmark/32VNH/2017,france/31TCJ/2017,True,structure,5,12,1,timematch_32VNH_to_31TCJ_closedset_noshift,0.45307837369305637,0.9231816943612094,0.23482102155685425,0.29121148586273193,0.32511910796165466,0.18800824880599976,0.2529104948043823,0.2727072536945343,0.9426843523979187,0.16433627903461456,0.6059516072273254,0.3800729513168335,0.1622326523065567,0.15759851038455963,0.5779500603675842,0.17659080028533936,0.2653673589229584,53823,3,6,12,18,/data/user/timematch/outputs/timematch_32VNH_to_31TCJ_closedset_noshift
DK1,AT1,denmark/32VNH/2017,austria/33UVP/2017,True,structure,5,12,1,timematch_32VNH_to_33UVP_closedset_noshift,0.6702959698139771,0.9489481785531042,0.2575320303440094,0.30487942695617676,0.32199105620384216,0.21269197762012482,0.28032487630844116,0.29666391015052795,0.9698092341423035,0.16817134618759155,0.5447277426719666,0.37964197993278503,0.16263751685619354,0.16227610409259796,0.5934783220291138,0.17659516632556915,0.2676851153373718,53823,3,6,12,18,/data/user/timematch/outputs/timematch_32VNH_to_33UVP_closedset_noshift
AT1,FR1,austria/33UVP/2017,france/30TXT/2017,True,structure,5,10,1,timematch_33UVP_to_30TXT_closedset_noshift,0.7142810780316066,0.9255609703850479,0.4813138246536255,0.48633599281311035,0.5698214769363403,0.2445196956396103,0.28112655878067017,0.3605968654155731,1.3240057229995728,0.4709213674068451,0.22384846210479736,0.20239830017089844,0.10201720893383026,1.616988182067871,0.21285796165466309,0.12506262958049774,0.17137359082698822,43809,6,11,20,26,/data/user/timematch/outputs/timematch_33UVP_to_30TXT_closedset_noshift
AT1,FR2,austria/33UVP/2017,france/31TCJ/2017,True,structure,5,10,1,timematch_33UVP_to_31TCJ_closedset_noshift,0.6214111953583912,0.9183560122188281,0.38914865255355835,0.3255545496940613,0.5486927628517151,0.19477525353431702,0.23067957162857056,0.2755568325519562,1.1972625255584717,0.45936447381973267,0.24682366847991943,0.19359813630580902,0.10453324019908905,1.441310167312622,0.1991415023803711,0.12104208767414093,0.16282714903354645,43809,6,11,20,26,/data/user/timematch/outputs/timematch_33UVP_to_31TCJ_closedset_noshift
AT1,DK1,austria/33UVP/2017,denmark/32VNH/2017,True,structure,5,10,1,timematch_33UVP_to_32VNH_closedset_noshift,0.7483376774611116,0.7225208135736115,0.3404556214809418,0.480009526014328,0.6924969553947449,0.2175365537405014,0.244774729013443,0.3071693181991577,1.6907329559326172,0.4477953314781189,0.20964984595775604,0.24741820991039276,0.11597257852554321,1.3064014911651611,0.33367398381233215,0.13003593683242798,0.17701061069965363,43809,6,13,19,25,/data/user/timematch/outputs/timematch_33UVP_to_32VNH_closedset_noshift
