source,target,source_dataset,target_dataset,closed_set,source_phase_partition_mode,num_classes,fold_count,timematch_experiment,target_f1,target_accuracy,source_phase_compactness_early,source_phase_compactness_mid,source_phase_compactness_late,source_phase_margin_early,source_phase_margin_mid,source_phase_margin_late,source_phase_separability_mid,source_phase_separability_late,source_phase_separability_early,source_samples,source_phase_boundary_1,source_phase_boundary_2,checkpoint_dir
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,True,uniform,11,1,timematch_30TXT_to_31TCJ_closedset_noshift,0.7945527984749808,0.9578964748617188,0.8662381768226624,0.8254729509353638,0.735942006111145,0.3872566521167755,0.39410465955734253,0.18834629654884338,0.6197522282600403,0.18901661038398743,0.7572291493415833,106028,,,/data/user/timematch/outputs/timematch_30TXT_to_31TCJ_closedset_noshift
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,True,uniform,11,1,timematch_30TXT_to_32VNH_closedset_noshift,0.6581404601787256,0.9479606188466948,0.9142807126045227,0.8909530639648438,0.8274068236351013,0.3979441225528717,0.41076135635375977,0.18778096139431,0.6848235130310059,0.18278983235359192,0.8433032035827637,106028,,,/data/user/timematch/outputs/timematch_30TXT_to_32VNH_closedset_noshift
FR1,AT1,france/30TXT/2017,austria/33UVP/2017,True,uniform,11,1,timematch_30TXT_to_33UVP_closedset_noshift,0.8135698493777221,0.9696019629225736,1.0377658605575562,0.9799075126647949,0.9035961627960205,0.38888806104660034,0.4006122946739197,0.18675898015499115,0.6134681701660156,0.18040314316749573,0.8060901761054993,106028,,,/data/user/timematch/outputs/timematch_30TXT_to_33UVP_closedset_noshift
FR2,FR1,france/31TCJ/2017,france/30TXT/2017,True,uniform,12,1,timematch_31TCJ_to_30TXT_closedset_noshift,0.6513283731186127,0.9263060182558919,0.4316191077232361,0.4281153976917267,0.5868428945541382,0.36637192964553833,0.4814746379852295,0.17750030755996704,1.314281702041626,0.18385180830955505,0.9758716821670532,74156,,,/data/user/timematch/outputs/timematch_31TCJ_to_30TXT_closedset_noshift
FR2,DK1,france/31TCJ/2017,denmark/32VNH/2017,True,uniform,12,1,timematch_31TCJ_to_32VNH_closedset_noshift,0.5156133774457572,0.743421897060711,0.42855724692344666,0.4065723717212677,0.5573912858963013,0.36518794298171997,0.48306912183761597,0.18252232670783997,1.2498998641967773,0.20035400986671448,0.962414562702179,74156,,,/data/user/timematch/outputs/timematch_31TCJ_to_32VNH_closedset_noshift
FR2,AT1,france/31TCJ/2017,austria/33UVP/2017,True,uniform,12,1,timematch_31TCJ_to_33UVP_closedset_noshift,0.6545428390632363,0.957550358253346,0.4413156807422638,0.4273160994052887,0.5616992115974426,0.35719335079193115,0.47265028953552246,0.1791503131389618,1.171647310256958,0.18734684586524963,0.8940714001655579,74156,,,/data/user/timematch/outputs/timematch_31TCJ_to_33UVP_closedset_noshift
DK1,FR1,denmark/32VNH/2017,france/30TXT/2017,True,uniform,12,1,timematch_32VNH_to_30TXT_closedset_noshift,0.5682796658061672,0.958042702731484,0.28390371799468994,0.24414655566215515,0.3024445176124573,0.2601366639137268,0.33479586243629456,0.18430007994174957,0.5440799593925476,0.1752575933933258,0.6553497314453125,53823,,,/data/user/timematch/outputs/timematch_32VNH_to_30TXT_closedset_noshift
DK1,FR2,denmark/32VNH/2017,france/31TCJ/2017,True,uniform,12,1,timematch_32VNH_to_31TCJ_closedset_noshift,0.45307837369305637,0.9231816943612094,0.26264795660972595,0.21293728053569794,0.26537832617759705,0.25561660528182983,0.3285571038722992,0.1797615885734558,0.515722393989563,0.1695461869239807,0.6508562564849854,53823,,,/data/user/timematch/outputs/timematch_32VNH_to_31TCJ_closedset_noshift
DK1,AT1,denmark/32VNH/2017,austria/33UVP/2017,True,uniform,12,1,timematch_32VNH_to_33UVP_closedset_noshift,0.6702959698139771,0.9489481785531042,0.28280317783355713,0.23917227983474731,0.29085662961006165,0.2566679120063782,0.32724374532699585,0.17973929643630981,0.5262544751167297,0.16968753933906555,0.6492966413497925,53823,,,/data/user/timematch/outputs/timematch_32VNH_to_33UVP_closedset_noshift
AT1,FR1,austria/33UVP/2017,france/30TXT/2017,True,uniform,10,1,timematch_33UVP_to_30TXT_closedset_noshift,0.7142810780316066,0.9255609703850479,0.4831702709197998,0.2937479019165039,0.28065744042396545,0.26854079961776733,0.5825834274291992,0.17146404087543488,1.4938679933547974,0.16852165758609772,0.6405404806137085,43809,,,/data/user/timematch/outputs/timematch_33UVP_to_30TXT_closedset_noshift
AT1,FR2,austria/33UVP/2017,france/31TCJ/2017,True,uniform,10,1,timematch_33UVP_to_31TCJ_closedset_noshift,0.6214111953583912,0.9183560122188281,0.34669259190559387,0.24125555157661438,0.22064925730228424,0.259469598531723,0.5617324709892273,0.1645757108926773,1.353684663772583,0.16129820048809052,0.59260094165802,43809,,,/data/user/timematch/outputs/timematch_33UVP_to_31TCJ_closedset_noshift
AT1,DK1,austria/33UVP/2017,denmark/32VNH/2017,True,uniform,10,1,timematch_33UVP_to_32VNH_closedset_noshift,0.7483376774611116,0.7225208135736115,0.45454397797584534,0.2576830983161926,0.24615639448165894,0.28134435415267944,0.5896676778793335,0.17761816084384918,1.4763526916503906,0.17668309807777405,0.6598656177520752,43809,,,/data/user/timematch/outputs/timematch_33UVP_to_32VNH_closedset_noshift
